Shelter Name,Shelter Id,FEMA Declaration #,ARC DRO #,Incident #,Shelter Status,Shelter Agency Type,Shelter Address,City,County/Parish,State,Zip,Open Date,Close Date,Shelter Evacuation Capacity,Shelter Post Impact Capacity,Population Period,9/7/17,9/8/17,9/9/17
New River MS Special Needs,22334,,41418,,Open,Independent,3100 RIVERLAND RD,FORT LAUDERDALE,BROWARD,FL,33312,9/9/17 2:00,,293,0,,,,
Plantation Elementary School,22338,,41418,,Open,ARC Managed,651 NW 42ND AVE,FORT LAUDERDALE,BROWARD,FL,33317,9/7/17 16:00,,395,0,Noon,87,171,
Sheridan Technical School Special Needs,22343,,41418,,Open,Independent,3775 SW 16TH ST,FORT LAUDERDALE,BROWARD,FL,33312,9/9/17 2:00,,353,0,,,,
Rock Island Elementary School,25425,,41418,,Open,ARC Managed,2350 NW 19TH ST,FORT LAUDERDALE,BROWARD,FL,33319,9/8/17 12:00,,396,0,Noon,0,145,
Arthur Ashe Middle School,69976,,41418,,Open,ARC Managed,1701 NW 23RD AVE,FORT LAUDERDALE,BROWARD,FL,33311,9/8/17 9:00,,941,0,Noon,263,,
Millennium MS,69977,,41418,,Open,ARC Partner,5803 NW 94TH AVE,FORT LAUDERDALE,BROWARD,FL,33321,9/8/17 22:00,,1600,0,,,,
Indian Ridge Middle School Special Needs,136098,,41418,,Open,Independent,1355 Nob Hill Road,FORT LAUDERDALE,BROWARD,FL,33324,9/7/17 8:00,,310,0,,,,
Park Lakes Elementary School,136529,,41418,,Open,ARC Managed,3925 N. STATE ROAD 7,FORT LAUDERDALE,BROWARD,FL,33319,9/7/17 16:00,,425,0,Noon,15,30,
Silver Palms ES,19387,,41418,,Open,ARC Managed,1209 NW 155TH AVE,HOLLYWOOD,BROWARD,FL,33028,9/8/17 19:00,,2091,0,,,,
Watkins Elementary School,19393,,41418,,Open,ARC Managed,3520 SW 52ND AVE,HOLLYWOOD,BROWARD,FL,33023,9/7/17 16:00,,395,0,Noon,94,111,
McNichol Middle School Special  Needs,22331,,41418,,Open,Independent,1602 S 27TH AVE,HOLLYWOOD,BROWARD,FL,33020,9/7/17 8:00,,299,0,,,,
West Broward High School,75841,,41418,,Open,ARC Managed,500 NW 209TH AVE.,HOLLYWOOD,BROWARD,FL,33029,9/8/17 22:00,,1219,0,,,,
Beachside Montessori Village ES,137844,,41418,,Open,ARC Managed,2230 Lincoln Street,HOLLYWOOD,BROWARD,FL,33020,9/9/17 22:00,,1060,0,,,,
Everglades Hign School,22322,,41418,,Open,ARC Managed,17100 SW 48TH CT,MIRAMAR,BROWARD,FL,33027,9/8/17 15:00,,1122,0,Noon,,0,
New Renaissance Middle School,22333,,41418,,Open,ARC Managed,10701 MIRAMAR BLVD,MIRAMAR,BROWARD,FL,33025,9/8/17 12:00,,817,0,Noon,139,207,
West Glades Middle School,164838,,41418,,Open,Independent,11000 Holmberg Rd.,PARKLAND,BROWARD,FL,33076,9/9/17 0:00,,300,300,,,,
Tradewinds ES,19391,,41418,,Open,ARC Managed,5400 JOHNSON RD,POMPANO BEACH,BROWARD,FL,33073,9/9/17 22:00,,2091,0,Noon,,,378
Monarch High School,22325,,41418,,Open,ARC Managed,5050 WILES RD,POMPANO BEACH,BROWARD,FL,33073,9/8/17 12:00,,950,0,Noon,39,206,
Pompano Beach Institute of International Studies High S,24574,,41418,,Open,ARC Managed,600 NE 13TH AVE,POMPANO BEACH,BROWARD,FL,33060,9/7/17 16:00,,268,0,Noon,211,275,
Coral Glades High School,136527,,41418,,Open,ARC Managed,2700 SPORTSPLEX DRIVE,POMPANO BEACH,BROWARD,FL,33065,9/8/17 9:00,,1153,0,Noon,42,42,
Blounstown High School,164820,,41418,,Open,ARC Managed,18597 NE SR69,BLOUNTSTOWN,CALHOUN,FL,32424,9/10/17 13:00,,500,250,,,,
Kingsway Elementary School,5613,,41418,,Open,Independent,23300 QUASAR BLVD,PORT CHARLOTTE,CHARLOTTE,FL,33952,9/8/17 19:00,,0,200,,,,
LIBERTY ELEMENTARY SCHOOL,14698,,41418,,Open,ARC Managed,370 ATWATER ST,PORT CHARLOTTE,CHARLOTTE,FL,33954,9/8/17 18:00,,0,200,,,,
First Christian Church Special Needs,68863,,41418,,Open,Independent,20212 Peachland Blvd,PORT CHARLOTTE,CHARLOTTE,FL,33954,9/9/17 2:00,,0,65,,,,
Central Ridge Elementary School,153409,,41418,,Open,ARC Managed,185 West Citrus Spring Blvd,CITRUS SPRINGS,CITRUS,FL,34434,9/8/17 14:30,,1144,572,Noon,,0,
FOREST RIDGE ELEMENTARY SCHOOL,5699,,41418,,Open,ARC Managed,2927 N FOREST RIDGE BLVD,HERNANDO,CITRUS,FL,34442,9/8/17 14:30,,2532,1266,Noon,,0,
Lecanto Primary School,4628,,41418,,Open,Independent,3790 W EDUCATIONAL PATH,LECANTO,CITRUS,FL,34461,9/8/17 14:30,,0,934,Noon,,0,
LECANTO HIGH SCHOOL,19559,,41418,,Open,ARC Managed,3810 W EDUCATIONAL PATH,LECANTO,CITRUS,FL,34461,9/8/17 14:30,,5188,2594,Noon,,0,
LECANTO MIDDLE SCHOOL,19560,,41418,,Open,ARC Managed,3860 W EDUCATIONAL PATH,LECANTO,CITRUS,FL,34461,9/8/17 14:30,,2519,1259,Noon,,0,
Renaissance Center Special Needs,68864,,41418,,Open,Independent,3630 W. Educational Path,LECANTO,CITRUS,FL,34461,9/8/17 14:30,,182,91,Noon,,0,
CLAY HIGH SCHOOL,19568,,41418,,Open,ARC Managed,2025 STATE RD 16 W,Green Cove Springs,Clay,FL,32043,9/9/17 8:00,,1,0,Noon,,0,
Lake Asbury Junior High School,22590,,41418,,Open,ARC Managed,2851 SANDRIDGE RD,GREEN COVE SPRINGS,CLAY,FL,32043,9/9/17 8:00,,298,0,,,,
Keystone Heights High School,5788,,41418,,Open,ARC Managed,900 ORCHID RD,KEYSTONE HEIGHTS,CLAY,FL,32656,9/9/17 8:00,,1000,500,,,,
Orange Park High School,70032,,41418,,Stand-by/Alert,ARC Managed,2300 Kingsley Ave.,ORANGE PARK,CLAY,FL,32073,9/9/17 8:00,,612,0,Noon,,,0
Bradford High School,164816,,41418,,Stand-by/Alert,ARC Managed,581 North Temple,STARKE,CLAY,FL,32091,,,500,250,,,,
Ave Maria Field House,164839,,41418,,Open,Independent,4810 Kellerher street,AVE MARIA,COLLIER,FL,34142,9/9/17 6:00,,300,300,,,,
Highlands Elementary School,19409,,41418,,Open,ARC Managed,1101 LAKE TRAFFORD RD,IMMOKALEE,COLLIER,FL,34142,9/9/17 6:00,,500,250,,,,
Immokalee High School,19410,,41418,,Open,ARC Managed,701 Immokalee Rd,IMMOKALEE,COLLIER,FL,34142,9/8/17 9:00,,2000,1000,,,,
Immokalee Middle School,19411,,41418,,Open,ARC Managed,401 N 9TH ST,IMMOKALEE,COLLIER,FL,34142,9/9/17 6:00,,800,400,Noon,,0,
Pinecrest Elementary School,19417,,41418,,Open,ARC Managed,313 S 9TH ST,IMMOKALEE,COLLIER,FL,34142,9/9/17 6:00,,500,250,,,,
Village Oaks Elementary School,19418,,41418,,Open,ARC Managed,1601 State Rd 29 S,IMMOKALEE,COLLIER,FL,34142,9/9/17 6:00,,500,250,,,,
Eden Park Elementary,68838,,41418,,Open,ARC Managed,3655 Westclox Street,IMMOKALEE,COLLIER,FL,34142,9/9/17 6:00,,500,250,,,,
Ave- Maria University,69968,,41418,,Open,ARC Managed,5050 Ave Maria Blvd.,IMMOKALEE,COLLIER,FL,34142,9/8/17 17:00,,500,250,,,,
Calusa Park Elementary,5619,,41418,,Open,Independent,4600 SANTA BARBARA BLVD,NAPLES,COLLIER,FL,34104,9/8/17 12:00,,500,250,,,,
Corkscrew Middle School,17877,,41418,,Open,ARC Managed,1165 CR 858,NAPLES,COLLIER,FL,34120,9/9/17 6:00,,800,400,,,,
Palmetto Ridge High School Special Needs,17967,,41418,,Open,Independent,1655 Victory Lane,NAPLES,COLLIER,FL,34120,9/8/17 12:00,,394,394,,,,
Golden Gate High School,18233,,41418,,Open,Independent,2925 Titan Way,NAPLES,COLLIER,FL,34116,9/8/17 12:00,,2000,1000,,,,
Golden Gate Community Center,18234,,41418,,Open,ARC Managed,4701 Golden Gate Pkwy,NAPLES,COLLIER,FL,34116,9/9/17 6:00,,450,225,,,,
Gulf Coast High School,18235,,41418,,Open,ARC Managed,7878 SHARK WAY,NAPLES,COLLIER,FL,34109,9/8/17 8:00,,2000,1000,,,,
North Naples Middle School,18236,,41418,,Open,ARC Managed,16165 Livingston Rd,NAPLES,COLLIER,FL,34110,9/9/17 6:00,,750,500,,,,
Lely High School,19414,,41418,,Open,Independent,1 Lely High School Blvd,NAPLES,COLLIER,FL,34113,9/8/17 12:00,,1500,750,,,,
Oakridge Middle School,19415,,41418,,Open,Independent,14975 Collier Blvd,NAPLES,COLLIER,FL,34119,9/8/17 0:00,,800,400,,,,
Lely Elementary School,32280,,41418,,Open,ARC Managed,8125 Lely Cultural Pkwy,NAPLES,COLLIER,FL,34113,9/9/17 6:00,,0,250,,,,
Palmetto Ridge High School General Population,61230,,41418,,Open,ARC Managed,1655 Oil Well Road (CR 858),NAPLES,COLLIER,FL,34120,9/9/17 8:00,,1500,750,Noon,,0,
North Collier Regional Park - People Shelter,61231,,41418,,Open,Independent,15000 Livingston Road,NAPLES,COLLIER,FL,34109,9/8/17 12:00,,300,150,,,,
Sabal Palm Elementary School,68021,,41418,,Open,ARC Managed,4095 18th Avenue NE,NAPLES,COLLIER,FL,34120,9/9/17 6:00,,500,250,,,,
Cypress Palm Middle,68832,,41418,,Open,Independent,4255 18th Avenue NE,NAPLES,COLLIER,FL,34120,9/8/17 10:00,,800,400,,,,
Mike Davis Elementary,68843,,41418,,Open,ARC Managed,3215 Magnolia Pond Drive,NAPLES,COLLIER,FL,34116,9/9/17 6:00,,500,250,,,,
Veterans Memorial Elementary,68851,,41418,,Open,ARC Managed,15960 Veterans Memorial Blvd.,NAPLES,COLLIER,FL,34110,9/9/17 6:00,,500,250,,,,
Eagle Lakes Community Center,164840,,41418,,Open,Independent,11565 Tamiami Trail E,NAPLES,COLLIER,FL,34113,9/9/17 6:00,,300,300,,,,
Golden Terrance Elementary,164841,,41418,,Open,Independent,44th Terr SW,NAPLES,COLLIER,FL,34116,9/9/17 6:00,,300,300,,,,
Hodges University,164842,,41418,,Open,Independent,2655 North Broke Dr,NAPLES,COLLIER,FL,34119,9/9/17 6:00,,300,300,,,,
Max Hausse Community Park,164843,,41418,,Open,Independent,3390 Golden Gate Blvd w,NAPLES,COLLIER,FL,34117,9/9/17 6:00,,300,300,,,,
Lower Oak Elementary,164844,,41418,,Open,Independent,7800 Immokalee Rd,NAPLES,COLLIER,FL,34113,9/9/17 6:00,,300,300,,,,
Vine Yard Elementary,164845,,41418,,Open,Independent,6225 Arbor Blvd,NAPLES,COLLIER,FL,34119,9/9/17 6:00,,300,300,,,,
Fort White High School,138679,,41418,,Stand-by/Alert,ARC Managed,17828 SW State Road 47,FORT WHITE,COLUMBIA,FL,32038,,,438,0,,,,
Winfield Community & Recreation Center,66640,,41418,,Open,ARC Managed,1324 NW Winfield St.,LAKE CITY,COLUMBIA,FL,32055,9/8/17 15:00,,0,56,,,,
Westside Elementary School,136558,,41418,,Stand-by/Alert,Independent,1956 SW County Road 252B,LAKE CITY,COLUMBIA,FL,32024,9/9/17 12:00,,1329,0,,,,
DESOTO MIDDLE SCHOOL,6002,,41418,,Open,ARC Managed,420 E GIBSON ST,ARCADIA,DE SOTO,FL,34266,9/8/17 14:00,,1538,0,Noon,,0,
South Florida State College,164825,,41418,,Open,Independent,2251 Turner Avenue,ARCADIA,DE SOTO,FL,34266,9/8/17 23:00,,1000,1000,,,,
Ruth Rains Middle School,19283,,41418,,Stand-by/Alert,ARC Managed,981 SE 351 Hwy,CROSS CITY,DIXIE,FL,32628,,,826,0,,,,
Andrew A Robinson Elementary School,5779,,41418,,Open,ARC Managed,101 W 12TH ST,JACKSONVILLE,DUVAL,FL,32206,9/8/17 9:00,,1853,0,,,,
MANDARIN OAKS ELEMENTARY SCHOOL,5821,,41418,,Open,ARC Managed,10600 HORNETS NEST RD,JACKSONVILLE,DUVAL,FL,32257,9/9/17 10:00,,3509,0,,,,
Chets Creek Elementary School,22592,,41418,,Open,ARC Managed,13200 CHETS CREEK BLVD,JACKSONVILLE,DUVAL,FL,32224,9/9/17 10:00,,2613,0,,,,
Abess Park Elementary School,22593,,41118,,Open,ARC Managed,12731 ABESS BLVD,JACKSONVILLE,DUVAL,FL,32225,9/8/17 12:00,,2613,0,,,,
Chimney Lake Elementary School,22595,,41418,,Open,ARC Managed,9353 STAPLES MILL DR,JACKSONVILLE,DUVAL,FL,32244,9/8/17 10:00,,2862,0,,,,
LANDMARK MIDDLE SCHOOL,22596,,41418,,Open,ARC Managed,101 KERNAN BLVD,JACKSONVILLE,DUVAL,FL,32225,9/8/17 10:00,,364,0,,,,
Twin Lakes Elementary School,22597,,41418,,Open,ARC Managed,8000 POINT MEADOWS DR,JACKSONVILLE,DUVAL,FL,32256,9/8/17 10:00,,1714,857,,,,
MANDARIN MIDDLE SCHOOL,22598,,41418,,Open,ARC Managed,5100 HOOD RD,JACKSONVILLE,DUVAL,FL,32257,9/8/17 10:00,,1175,0,,,,
LA VILLA SCHOOL OF THE ARTS,22599,,41418,,Open,ARC Managed,501 N DAVIS ST,JACKSONVILLE,DUVAL,FL,32202,9/9/17 10:00,,1196,0,,,,
Oceanway Elementary School,22602,,41418,,Open,ARC Managed,12555 GILLESPIE AVE,JACKSONVILLE,DUVAL,FL,32218,9/8/17 9:00,,600,0,,,,
Arlington Middle School,39926,,41418,,Open,ARC Managed,8141 LONE STAR RD,JACKSONVILLE,DUVAL,FL,32211,9/8/17 10:00,,1756,0,,,,
Enterprise Learning Academy Special Needs,142345,,41418,,Open,Independent,8085 Old Middleburg Rd,JACKSONVILLE,DUVAL,FL,32222-1819,9/9/17 10:00,,350,0,,,,
Oceanway Middle Special Needs,142346,,41418,,Open,Independent,143 Oceanway Ave,JACKSONVILLE,DUVAL,FL,32218-2615,9/9/17 10:00,,200,0,,,,
Westview K-8 Special Needs,142347,,41418,,Open,Independent,5270 Connie Jean Rd,JACKSONVILLE,DUVAL,FL,32210-8697,9/9/17 10:00,,167,0,,,,
Atlantic Coast High School Special Needs,142349,,41418,,Open,Independent,9735 R. G. SKINNER Pkwy,JACKSONVILLE,DUVAL,FL,32256,9/9/17 10:00,,250,0,,,,
The Legends Center,142350,,41418,,Open,ARC Managed,5130 Soutel Drive,JACKSONVILLE,DUVAL,FL,32208,9/8/17 9:00,,478,0,,,,
The Legends Center Special Needs,142351,,41418,,Open,Independent,5130 Soutel Drive,JACKSONVILLE,DUVAL,FL,32208,9/9/17 10:00,,62,0,,,,
Waterleaf Elementry Special Needs,142352,,41418,,Open,Independent,450 Kernan Blvd,JACKSONVILLE,DUVAL,FL,32225-5300,9/9/17 10:00,,219,0,,,,
Douglas Anderson School,159165,,41418,,Open,ARC Managed,2445 San Diego Rd,JACKSONVILLE,DUVAL,FL,32207,9/9/17 10:00,,200,0,,,,
Marie K Young Wedgewood Community Center,155515,,41418,,Open,ARC Managed,6405 Wagner Rd,PENSACOLA,ESCAMBIA,FL,32505,9/8/17 16:39,,200,100,,,,
Pensacola Bay Center,164822,,41418,,Open,Independent,210 East Gregory Street,PENSACOLA,ESCAMBIA,FL,32502-4956,9/8/17 19:00,,300,300,,,,
Bunnell Elementary School,6533,,41418,,Open,Independent,800 E Howe St,BUNNELL,FLAGLER,FL,32110,9/9/17 8:00,,1123,0,Noon,,0,150
Rymfire Elementary School Special Needs,68867,,41418,,Open,Independent,1425 Rymfire Dr,PALM COAST,FLAGLER,FL,32164,9/9/17 8:00,,122,0,Noon,,,50
Buddy Taylor Middle School - Special Needs,151422,,41418,,Open,Independent,4500 Belle Terre Pkwy,PALM COAST,FLAGLER,FL,32164,9/9/17 8:00,,0,777,Noon,,,0
HAVANA MIDDLE SCHOOL,6036,,41418,,Stand-by/Alert,ARC Managed,1210 KEMP RD,Havana,Gadsden,FL,32333,9/10/17 8:00,,0,218,,,,
West Gadsden High School,6034,,41418,,Stand-by/Alert,ARC Managed,559 GREENSBORO HWY,GREENSBORO,GADSDEN,FL,32330,9/10/17 0:00,,275,0,,,,
East Gadsden High School,6075,,41418,,Stand-by/Alert,ARC Managed,27001 Blue Star Memorial Highway,HAVANA,GADSDEN,FL,32333,9/10/17 0:00,,800,800,,,,
Moore Haven High School,5919,,41418,,Stand-by/Alert,ARC Managed,700  Terrier Pride Drive,Moore Haven,Glades,FL,33471,,,500,0,,,,
West Glades School Bldg 300 - Special Needs,161863,,41418,,Open,Independent,2586 cR 731,LABELLE,GLADES,FL,33935,9/8/17 8:00,,100,50,,,,
West Glades Elementary School,5413,,41418,,Open,ARC Managed,2586 CR 731,LA BELLE,GLADES,FL,33935,9/8/17 9:00,,722,0,,,,
Maple Grove Baptist Church,5917,,41418,,Open,ARC Partner,12777 E State Rd 78,MOORE HAVEN,GLADES,FL,33471,9/8/17 22:00,,350,220,,,,
HARDEE (HILLTOP) JUNIOR HIGH SCHOOL,14789,,41418,,Stand-by/Alert,ARC Managed,2401 US HWY 17N,WAUCHULA,HARDEE,FL,33873,,,2643,1323,,,,
Westside Elementary School,5925,,41418,,Stand-by/Alert,ARC Supported,205 W Arroyo Ave,Clewiston,Hendry,FL,33440,,,235,0,,,,
Country Oaks Elementary School,5926,,41418,,Open,ARC Supported,2052 NW EUCALYPTUS BLVD,Labelle,Hendry,FL,33935,9/8/17 8:00,,267,0,Noon,,25,
Clewiston High School,1492,,41418,,Stand-by/Alert,ARC Managed,1501 S FRANCISCO ST,CLEWISTON,HENDRY,FL,33440,,,350,0,,,,
Clewiston Middle School,5924,,41418,,Stand-by/Alert,ARC Managed,601 West Osceola Avenue,CLEWISTON,HENDRY,FL,33440,,,540,0,,,,
Muse Community Center Special Needs,5920,,41418,,Stand-by/Alert,Independent,25895 Loblolly Bay Road,LABELLE,HENDRY,FL,33935,,,252,200,,,,
Edward A Upthegrove Elementary School,5927,,41418,,Open,ARC Supported,280 N Main St,LABELLE,HENDRY,FL,33935,9/8/17 16:00,,1,0,,,,
Labelle Adult School,5932,,41418,,Open,ARC Managed,4050 E Cowboy Way,LABELLE,HENDRY,FL,33935,9/8/17 8:00,,0,1191,Noon,,28,
Labelle Middle School,5933,,41418,,Open,ARC Managed,8000 E Cowboy Way,LABELLE,HENDRY,FL,33935,9/8/17 15:00,,400,0,Noon,,175,
La Belle High,164826,,41418,,Open,Independent,4050 Cowboy Way,LA BELLE,HENDRY,FL,33935,9/8/17 19:00,,300,300,,,,
HERNANDO HIGH SCHOOL Building 25,19454,,41418,,Open,Independent,700 BELL AVE,BROOKSVILLE,HERNANDO,FL,34601,9/8/17 14:00,,500,250,Noon,,0,
PARROTT MIDDLE SCHOOL Building Three Gymnasium,19459,,41418,,Open,Independent,19220 YOUTH DR,BROOKSVILLE,HERNANDO,FL,34601,9/8/17 14:00,,303,151,Noon,,0,
Challenger K-8,164836,,41418,,Open,Independent,14325 Ken Austin pkwy,BROOKSVILLE,HERNANDO,FL,34614,9/9/17 2:00,,300,300,,,,
NATURE COAST TECHNICAL HIGH SCHOOL,24001,,41418,,Open,Independent,4057 CALIFORNIA ST,SPRING HILL,HERNANDO,FL,34604,9/8/17 14:00,,607,303,Noon,,0,
Challenger K-8 School Special Needs,68870,,41418,,Open,Independent,13400 Elgin Blvd.,SPRING HILL,HERNANDO,FL,34609,9/8/17 15:45,,421,0,Noon,,0,
Explorer K-8,152561,,41418,,Open,Independent,10252 Northcliffe Blvd,SPRING HILL,HERNANDO,FL,34608,9/8/17 14:00,,242,121,Noon,,0,
